MARKET,MARKET_TIMEZONE,PARTNER,PARTNER_REGISTR_DATE_LOCAL,TOTAL_REGISTRATIONS
AIA Malaysia,+08:00,APPLE,2016-08-06,9
AIA Malaysia,+08:00,APPLE,2016-08-07,2
AIA Malaysia,+08:00,APPLE,2016-08-08,8
AIA Malaysia,+08:00,APPLE,2016-08-09,11
AIA Malaysia,+08:00,APPLE,2016-08-10,14
AIA Malaysia,+08:00,APPLE,2016-08-11,17
AIA Malaysia,+08:00,GARMIN,2016-08-08,2
AIA Malaysia,+08:00,GARMIN,2016-08-09,3
AIA Malaysia,+08:00,GARMIN,2016-08-10,1
AIA Malaysia,+08:00,GARMIN,2016-08-11,2
AIA Malaysia,+08:00,POLAR,2016-08-05,2
AIA Malaysia,+08:00,SAMSUNG,2016-08-05,12
AIA Malaysia,+08:00,SAMSUNG,2016-08-06,4
AIA Malaysia,+08:00,SAMSUNG,2016-08-07,2
AIA Malaysia,+08:00,SAMSUNG,2016-08-08,9
AIA Malaysia,+08:00,SAMSUNG,2016-08-09,13
AIA Malaysia,+08:00,SAMSUNG,2016-08-10,5
AIA Malaysia,+08:00,SAMSUNG,2016-08-11,9
AIA Malaysia,+08:00,VALIDIC,2016-08-05,19
AIA Malaysia,+08:00,VALIDIC,2016-08-06,13
AIA Malaysia,+08:00,VALIDIC,2016-08-07,2
AIA Malaysia,+08:00,VALIDIC,2016-08-08,15
AIA Malaysia,+08:00,VALIDIC,2016-08-09,19
AIA Malaysia,+08:00,VALIDIC,2016-08-10,21
AIA Malaysia,+08:00,VALIDIC,2016-08-11,27
AIA Malaysia,+08:00,VITALITY SELF-REPORTED,2016-08-05,40
AIA Malaysia,+08:00,VITALITY SELF-REPORTED,2016-08-06,31
AIA Malaysia,+08:00,VITALITY SELF-REPORTED,2016-08-07,5
AIA Malaysia,+08:00,VITALITY SELF-REPORTED,2016-08-08,30
AIA Malaysia,+08:00,VITALITY SELF-REPORTED,2016-08-09,67
AIA Malaysia,+08:00,VITALITY SELF-REPORTED,2016-08-10,48
AIA Malaysia,+08:00,VITALITY SELF-REPORTED,2016-08-11,56
AIA Malaysia,+08:00,VITALITY SELF-REPORTED,2016-08-12,1
AIA Malaysia,+08:00,XIAOMI,2016-08-05,15
AIA Malaysia,+08:00,XIAOMI,2016-08-06,12
AIA Malaysia,+08:00,XIAOMI,2016-08-07,3
AIA Malaysia,+08:00,XIAOMI,2016-08-08,14
AIA Malaysia,+08:00,XIAOMI,2016-08-09,17
AIA Malaysia,+08:00,XIAOMI,2016-08-10,15
AIA Malaysia,+08:00,XIAOMI,2016-08-11,19
AIA Philippines,+08:00,APPLE,2016-08-05,1
AIA Philippines,+08:00,APPLE,2016-08-06,1
AIA Philippines,+08:00,APPLE,2016-08-07,1
AIA Philippines,+08:00,APPLE,2016-08-10,1
AIA Philippines,+08:00,APPLE,2016-08-11,1
AIA Philippines,+08:00,GARMIN,2016-08-11,1
AIA Philippines,+08:00,SAMSUNG,2016-08-07,1
AIA Philippines,+08:00,SAMSUNG,2016-08-08,1
AIA Philippines,+08:00,VALIDIC,2016-08-05,1
AIA Philippines,+08:00,VITALITY SELF-REPORTED,2016-08-06,1
AIA Philippines,+08:00,VITALITY SELF-REPORTED,2016-08-10,2
AIA Singapore,+08:00,GARMIN,2016-08-06,1
AIA Singapore,+08:00,GARMIN,2016-08-07,5
AIA Singapore,+08:00,GARMIN,2016-08-08,1
AIA Singapore,+08:00,GARMIN,2016-08-09,1
AIA Singapore,+08:00,GARMIN,2016-08-10,2
AIA Singapore,+08:00,GARMIN,2016-08-11,2
AIA Singapore,+08:00,POLAR,2016-08-05,1
AIA Singapore,+08:00,POLAR,2016-08-06,1
AIA Singapore,+08:00,POLAR,2016-08-07,1
AIA Singapore,+08:00,POLAR,2016-08-10,1
AIA Singapore,+08:00,POLAR,2016-08-11,3
AIA Singapore,+08:00,VALIDIC,2016-08-05,24
AIA Singapore,+08:00,VALIDIC,2016-08-06,15
AIA Singapore,+08:00,VALIDIC,2016-08-07,17
AIA Singapore,+08:00,VALIDIC,2016-08-08,16
AIA Singapore,+08:00,VALIDIC,2016-08-09,11
AIA Singapore,+08:00,VALIDIC,2016-08-10,13
AIA Singapore,+08:00,VALIDIC,2016-08-11,32
AIA Singapore,+08:00,VITALITY SELF-REPORTED,2016-08-05,13
AIA Singapore,+08:00,VITALITY SELF-REPORTED,2016-08-06,12
AIA Singapore,+08:00,VITALITY SELF-REPORTED,2016-08-07,19
AIA Singapore,+08:00,VITALITY SELF-REPORTED,2016-08-08,10
AIA Singapore,+08:00,VITALITY SELF-REPORTED,2016-08-09,12
AIA Singapore,+08:00,VITALITY SELF-REPORTED,2016-08-10,9
AIA Singapore,+08:00,VITALITY SELF-REPORTED,2016-08-11,33
AIA Thailand,+07:00,APPLE,2016-08-05,12
AIA Thailand,+07:00,APPLE,2016-08-06,6
AIA Thailand,+07:00,APPLE,2016-08-07,10
AIA Thailand,+07:00,APPLE,2016-08-08,14
AIA Thailand,+07:00,APPLE,2016-08-09,12
AIA Thailand,+07:00,APPLE,2016-08-10,8
AIA Thailand,+07:00,APPLE,2016-08-11,7
AIA Thailand,+07:00,GARMIN,2016-08-05,2
AIA Thailand,+07:00,GARMIN,2016-08-06,4
AIA Thailand,+07:00,GARMIN,2016-08-07,6
AIA Thailand,+07:00,GARMIN,2016-08-08,2
AIA Thailand,+07:00,GARMIN,2016-08-09,8
AIA Thailand,+07:00,GARMIN,2016-08-10,4
AIA Thailand,+07:00,GARMIN,2016-08-11,4
AIA Thailand,+07:00,POLAR,2016-08-05,1
AIA Thailand,+07:00,POLAR,2016-08-06,1
AIA Thailand,+07:00,SAMSUNG,2016-08-05,9
