MARKET,MARKET_TIMEZONE,PARTNER,PARTNER_REGISTR_DATE_LOCAL,TOTAL_REGISTRATIONS
AIA Hong Kong,+08:00,GARMIN,2016-08-18,7
AIA Hong Kong,+08:00,POLAR,2016-08-13,14
AIA Hong Kong,+08:00,POLAR,2016-08-14,6
AIA Hong Kong,+08:00,POLAR,2016-08-15,13
AIA Hong Kong,+08:00,POLAR,2016-08-16,9
AIA Hong Kong,+08:00,POLAR,2016-08-17,11
AIA Hong Kong,+08:00,POLAR,2016-08-18,1
AIA Hong Kong,+08:00,SAMSUNG,2016-08-13,285
AIA Hong Kong,+08:00,SAMSUNG,2016-08-14,201
AIA Hong Kong,+08:00,SAMSUNG,2016-08-15,250
AIA Hong Kong,+08:00,SAMSUNG,2016-08-16,227
AIA Hong Kong,+08:00,SAMSUNG,2016-08-17,156
AIA Hong Kong,+08:00,SAMSUNG,2016-08-18,12
AIA Hong Kong,+08:00,VALIDIC,2016-08-13,1158
AIA Hong Kong,+08:00,VALIDIC,2016-08-14,783
AIA Hong Kong,+08:00,VALIDIC,2016-08-15,1203
AIA Hong Kong,+08:00,VALIDIC,2016-08-16,1139
AIA Hong Kong,+08:00,VALIDIC,2016-08-17,892
AIA Hong Kong,+08:00,VALIDIC,2016-08-18,92
AIA Hong Kong,+08:00,VITALITY SELF-REPORTED,2016-08-13,71
AIA Hong Kong,+08:00,VITALITY SELF-REPORTED,2016-08-14,54
AIA Hong Kong,+08:00,VITALITY SELF-REPORTED,2016-08-15,107
AIA Hong Kong,+08:00,VITALITY SELF-REPORTED,2016-08-16,109
AIA Hong Kong,+08:00,VITALITY SELF-REPORTED,2016-08-17,117
AIA Hong Kong,+08:00,VITALITY SELF-REPORTED,2016-08-18,9
AIA Hong Kong,+08:00,XIAOMI,2016-08-13,202
AIA Hong Kong,+08:00,XIAOMI,2016-08-14,127
AIA Hong Kong,+08:00,XIAOMI,2016-08-15,213
AIA Hong Kong,+08:00,XIAOMI,2016-08-16,225
AIA Hong Kong,+08:00,XIAOMI,2016-08-17,351
AIA Hong Kong,+08:00,XIAOMI,2016-08-18,73
AIA Malaysia,+08:00,APPLE,2016-08-13,7
AIA Malaysia,+08:00,APPLE,2016-08-14,5
AIA Malaysia,+08:00,APPLE,2016-08-15,12
AIA Malaysia,+08:00,APPLE,2016-08-16,8
AIA Malaysia,+08:00,APPLE,2016-08-17,6
AIA Malaysia,+08:00,GARMIN,2016-08-13,2
AIA Malaysia,+08:00,GARMIN,2016-08-14,1
AIA Malaysia,+08:00,GARMIN,2016-08-16,3
AIA Malaysia,+08:00,GARMIN,2016-08-17,1
AIA Malaysia,+08:00,SAMSUNG,2016-08-13,5
AIA Malaysia,+08:00,SAMSUNG,2016-08-14,8
AIA Malaysia,+08:00,SAMSUNG,2016-08-15,10
AIA Malaysia,+08:00,SAMSUNG,2016-08-16,4
AIA Malaysia,+08:00,SAMSUNG,2016-08-17,9
AIA Malaysia,+08:00,VALIDIC,2016-08-13,12
AIA Malaysia,+08:00,VALIDIC,2016-08-14,5
AIA Malaysia,+08:00,VALIDIC,2016-08-15,17
AIA Malaysia,+08:00,VALIDIC,2016-08-16,14
AIA Malaysia,+08:00,VALIDIC,2016-08-17,14
AIA Malaysia,+08:00,VITALITY SELF-REPORTED,2016-08-13,28
AIA Malaysia,+08:00,VITALITY SELF-REPORTED,2016-08-14,18
